[Parsed_ebur128_0 @ 0000019c8e92b940] t: 6.599977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.1 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 6.699977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.1 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 6.799977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.1 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 6.899977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.4 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.1 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 6.999977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.4 LUFS       LRA:   0.0 LU  FTPK: -17.9 dBFS  TPK:  -8.1 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 7.099977   TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK:  -8.4 dBFS  TPK:  -8.1 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 7.199977   TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.1 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 7.299977   TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.1 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 7.399977   TARGET:-23 LUFS    M: -18.7 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.1 dBFS  TPK:  -8.1 dBFS
[Parsed_ebur128_0 @ 0000019c8e92b940] t: 7.499977   TARGET:-23 LUFS    M: -21.8 S: -20.3     I: -20.3 LUFS       LRA:   0.0 LU  FTPK: -18.0 dBFS  TPK:  -8.1 dBFS
